156984	undefined
46478	google.com
10147	images.google.com
4681	viewmorepics.myspace.com
4667	facebook.com
4536	bing.com
4428	stumbleupon.com
4316	myspace.com
3675	ad.doubleclick.net
3646	home.myspace.com
3622	ad.yieldmanager.com
3339	apps.facebook.com
3010	search.yahoo.com
2391	mail.live.com
2018	messaging.myspace.com
1593	tag.admeld.com
1487	pubads.g.doubleclick.net
1452	friends.myspace.com
1416	view.atdmt.com
1386	myyearbook.com
1219	mail.google.com
1172	fls.doubleclick.net
1111	us.mg2.mail.yahoo.com
1040	indystar.com
1004	sidereel.com
1003	hulu.com
998	ig.gmodules.com
946	sports.yahoo.com
941	blog.sina.com.cn
836	m.www.yahoo.com
822	espn.go.com
803	imgcache.qq.com
772	c5.zedo.com
754	youtube.com
754	pandora.com
746	ulib.iupui.edu
745	us.mg4.mail.yahoo.com
745	huffingtonpost.com
717	minihp.cyworld.com
716	twitter.com
715	nytimes.com
709	drudgereport.com
703	maps.google.com
697	googleads.g.doubleclick.net
694	merriam-webster.com
690	msnbc.msn.com
689	foxnews.com
685	news.google.com
684	us.mg1.mail.yahoo.com
669	en.wikipedia.org
654	demr.opt.fimserve.com
653	indiana.edu
651	iupui.edu
642	sports.espn.go.com
614	ask.com
608	usatoday.com
604	optimized-by.rubiconproject.com
603	msn.com
597	naver.com
587	api.msappspace.com
572	washingtonpost.com
572	baidu.com
566	cartoon.media.daum.net
565	bulletins.myspace.com
564	playlist.com
555	video.google.com
551	m1.2mdn.net
546	people.com
535	nbc.com
531	digg.com
516	searchservice.myspace.com
513	listen.grooveshark.com
510	mangafox.com
503	sportsillustrated.cnn.com
